customer_id,first_name,last_name,gender,dob,state,city,zip,customer_since_date,segment
1,Donna,Lopez,M,2013-04-05,TX,Charlotte,24298,2020-08-10,New
2,Donna,Lopez,M,1997-11-19,TX,Charlotte,59889,2023-03-06,Preferred
3,Donna,Lopez,M,1985-12-17,TX,Charlotte,74870,2012-12-07,New
4,Donna,Lopez,M,1995-08-30,TX,Charlotte,48360,2010-03-22,High Value
5,Donna,Lopez,M,1950-05-24,TX,Charlotte,99076,2011-05-15,New
6,Donna,Lopez,M,1975-04-09,TX,Charlotte,43844,2011-08-24,High Value
7,Donna,Lopez,M,1982-01-05,TX,Charlotte,34155,2021-10-27,Preferred
8,Donna,Lopez,F,1965-05-07,TX,Charlotte,36237,2020-09-11,New
9,Donna,Lopez,M,1963-01-17,TX,Charlotte,51890,2014-04-21,New
10,Donna,Lopez,M,1976-03-18,TX,Charlotte,54259,2023-06-13,New
11,Donna,Lopez,M,1949-01-01,TX,Charlotte,41437,2015-12-22,High Value
12,Donna,Lopez,F,1981-01-01,TX,Charlotte,67039,2024-11-29,High Value
13,Donna,Lopez,F,2019-04-26,TX,Charlotte,54871,2014-07-22,New
14,Donna,Lopez,F,2010-06-24,TX,Charlotte,67475,2011-06-12,High Value
15,Donna,Lopez,M,1996-04-17,TX,Charlotte,10884,2014-01-06,Standard
16,Donna,Lopez,M,1980-05-09,TX,Charlotte,85614,2014-08-27,Standard
17,Donna,Lopez,F,1980-09-21,TX,Charlotte,86198,2011-03-13,High Value
18,Donna,Lopez,M,2014-04-14,TX,Charlotte,66070,2010-03-03,Standard
19,Donna,Lopez,F,2013-08-11,TX,Charlotte,35131,2022-01-11,Standard
20,Donna,Lopez,M,1963-10-03,TX,Charlotte,21342,2017-10-31,Standard
21,Donna,Lopez,F,1968-10-15,TX,Charlotte,62007,2020-03-19,Preferred
22,Donna,Lopez,M,2011-07-29,TX,Charlotte,96487,2014-03-09,Preferred
23,Donna,Lopez,F,1965-12-27,TX,Charlotte,56527,2016-07-10,
24,Donna,Lopez,M,1949-08-16,TX,Charlotte,37377,2017-11-07,New
25,Donna,Lopez,M,1991-06-18,TX,Charlotte,67980,2010-01-01,New
26,Donna,Lopez,F,2005-03-26,TX,Charlotte,93301,2016-02-08,Standard
27,Donna,Lopez,F,1986-04-23,TX,Charlotte,12069,2022-08-25,Preferred
28,Donna,Lopez,F,1980-02-14,TX,Charlotte,65274,2015-08-02,Standard
